MYOR,MIKA,UNTR
0.027568934,0.010443869,0.029411703
-0.004878045,0.033591749,0.029464397
-0.049019633,0.079999915,0.018213315
-0.092783438,0.078703749,-0.005110687
0.059659008,-0.017167391,0.013698482
0.061662256,0.074235848,-0.004222923
-0.002525282,-0.004065144,0.029686369
0.012658251,-0.073469331,-0.001647608
-0.012500022,-0.07048462,0.042904267
-0.017721538,0.023696696,-0.017405032
-0.010309206,0.037037058,-0.012077299
0.020833317,-0.093749996,0.043194766
0.061224507,-0.034482717,0.016406357
0.038461448,0.015306067,0.062347105
-0.004629568,-0.062814043,-0.036496344
0.046511475,0.010723867,-0.009848513
-0.062222072,0.039787819,0.080336595
-0.014217998,-0.045918391,-0.072946081
0.019230693,-0.005347596,0.010695138
-0.082547141,-0.018817214,-0.038548739
0.053984568,0.005479455,0.053459027
0.014634197,-0.057220672,-0.017910318
0.201922978,0.054913251,0.004559289
-0.055999859,-0.002739728,0.036308563
-0.144067941,-0.005494509,0.033576668
0.064356517,-0.035911553,0.000706142
0.046511475,0.031518569,0.045165923
-0.008888883,0.058333296,0.01012824
0.026905926,-0.002624608,0.060160614
0.021834101,0.021052577,-0.011349523
0.004273555,-0.020618505,-0.01530607
0.017021155,0.099999921,-0.022020776
0.012552345,-0.009569324,-0.019867511
-0.008264457,0.019323622,-0.035135115
0.020833371,0.056872071,0.014705847
0.081632693,-0.058295885,-0.100759161
0.05660368,0.061904673,-0.017651588
0.053571525,-0.062780304,0
-0.020339138,-0.014354016,0.006250002
0.003460249,0.004854371,0.090062108
-0.034482734,-0.077294668,0.048433163
0.03571426,0.007853407,0.029891281
0.051724146,-0.07532465,-0.098141605
-0.055737624,0.011235891,0.052044544
-0.013888966,-0.024999945,0.01272082
0.024647914,0.028489972,0.046755017
0.027491475,-0.005540169,-0.065333247
0.033444705,0.047353717,-0.007132659
0.008757707,0,0
-0.038834918,-0.02925527,-0.052442515
0,0.030136935,-0.04169834
-0.006733959,0.018617099,0.062500027
0.027118618,0.033942511,-0.015636522
-0.023102309,0.005050508,-0.022692996
0.037162149,0.010050257,0.095975284
-0.026058608,-0.029850701,-0.01412434
0.003344458,0.01538456,0.039398234
-0.069999998,-0.05303027,-0.079255656
0.035842216,0.0613333,0.023952081
-0.003460183,-0.082914557,0.005847868
-0.034722235,-0.073972575,-0.037063757
0.025179857,0.023668651,-0.007547228
-0.052631556,0.046242726,0.012927754
0.007407447,-0.035911553,-0.009009011
-0.018382313,-0.048710627,-0.012121238
-0.018726644,-0.114457891,-0.017137107
0,-0.013605365,0.022888659
-0.007633533,-0.027586221,0.030864294
-0.015384697,0.010638304,-0.015718612
-0.011718764,0.010526321,0.061597048
-0.023715345,0.020833258,-0.002865344
-0.032388634,-0.013605365,-0.084770176
0.066945542,0.096551688,-0.136577665
-0.01568626,-0.059748461,0.068181813
0.035856615,0,0.001701986
0,-0.016722418,-0.050127298
0.007692252,0.071428613,-0.021466938
0.007633628,0.015873025,0.060329061
0.015151501,0.07500004,-0.041379299
-0.026119402,-0.095930281,-0.031474866
-0.00383139,0.038585231,-0.018570036
-0.011538571,-0.055727507,-0.012298898
0.035019499,0.006557299,-0.014367933
-0.022556324,0.146579807,-0.027210856
0.015384601,0.073863678,0.116883157
0,0.007936447,-0.051878388
-0.003787851,-0.002624608,-0.015094252
-0.003802349,0.031578964,0.014367678
-0.015267257,0.00510198,0.055713024
-0.003875942,-0.02030458,-0.033989365
-0.023346235,0.02331614,-0.023148066
0.003984035,0.032911346,-0.035071148
0.007936451,-0.022058835,0.024558044
0.007874058,0.01754387,0.058485062
0.027343848,0.078817716,-0.035325993
0.007604508,-0.0410958,0.016407695
-0.04905663,-0.004762026,-0.054285707
0,-0.086124334,0.011077436
0.015873002,-0.036649234,0.009960182
0,0,0
-0.023437528,0.059782641,0.061144034
0.004000072,-0.025641039,0.020446061
-0.011952205,-0.00263158,0.027322386
-0.032258035,0.029023762,-0.006205573
-0.038759704,-0.003478161,-0.006244476
-0.026315767,0.007792158,-0.020646403
0.090090047,0.087628867,-0.027497691
0.033057857,0.028436074,-0.073515553
-0.016000052,0.018433139,-0.056968416
-0.004065054,0.009049754,-0.115426125
-0.008163191,0.049327414,0
0.024691337,0.089743549,0.020731701
0,-0.05098033,0.031063287
-0.024096365,-0.045454596,0.055620055
-0.012345719,0.051948045,-0.034028565
-0.049999959,0.086419717,-0.069318282
0.00877185,0.109848576,-0.013430886
-0.017391255,-0.051194551,0.006187972
-0.008849586,0.025179845,0.04676563
-0.022321392,-0.094736849,0.016786493
-0.00913245,0.027131771,0.014151049
-0.013824816,0.022641553,0.08255806
0.028037358,-0.018450189,-0.038668114
-0.031818173,0,0.016759807
-0.032863899,0.003759344,-0.080219726
0,-0.037453195,0.01911593
-0.01941748,0.042801608,-0.007034049
-0.034653457,0.003731289,0.003541939
0.051282094,-0.011152346,0.019999948
-0.009756129,0.003759344,-0.01845448
0.009852249,-0.011235977,0.04582848
-0.024390263,-0.079545424,-0.021348283
-0.020000004,0.037037007,-0.072330606
-0.020408167,0.031746061,-0.049504999
0.0390625,-0.011538484,-0.020833377
-0.002506274,0.00778218,-0.02526592
-0.017587935,-0.003861043,-0.005456951
-0.079283895,-0.0387597,-0.089163309
0.036111093,-0.024193496,0.042168731
-0.037533504,-0.233471137,-0.121387318
-0.13649022,0.07816718,-0.023026346
0.258064483,-0.082500032,0.043771083
-0.071794855,0.122615838,0.106451647
0.060773475,-0.072815552,-0.001457798
0.062500012,-0.04188479,0.011678857
0.068627433,0.060109224,-0.063492105
-0.013761513,0.002577346,0.00462253
-0.009302241,0.023136228,-0.029141125
0.004694851,0.201005085,-0.099526003
0,-0.029288689,0.024561435
0.028037358,0.021551729,0.075342365
0.045454469,0,0.089171895
-0.013043414,0.004219348,-0.03801161
0.004405301,-0.042016819,0.085106433
-0.008771959,-0.035087643,-0.077030845
0,0.081818111,0.090134127
-0.030973443,0.004662993,0.045189554
0.027397237,-0.037974684,0.029288524
0.022522523,0.026315789,0.054200662
0.035242291,0.025641026,0.097686321
-0.038297872,0.016666667,0.156908648
0.008849558,-0.057377049,-0.065789483
-0.013157895,0.013043478,0.017334903
0.066666667,0.017167382,-0.002129994
0.0375,0.008438819,-0.013874085
-0.004016064,-0.050209205,-0.007575828
-0.040322581,0.026431718,0.038168034
0.016806723,0.034334764,-0.025210053
0,0.058091286,-0.022629347
0.004132231,-0.015686275,-0.012127842
-0.008230453,0.059760956,-0.016000472
0.008298755,0.007518797,0.002285663
-0.037037037,-0.018656716,-0.036488033
0.025641026,-0.049429658,-0.007100528
0.004166667,-0.084,0.007151306
0.029045643,0.061135371,0.008284028
-0.004032258,0.102880658,0.16079819
0.020242915,0.003731343,0.071789615
0.011904762,0.014869888,-0.013207479
0.074509804,-0.018315018,0.018164411
0.03649635,0.02238806,-0.020657265
-0.045774648,-0.003649635,0.020134237
0.04797048,-0.036630037,0.025375898
-0.028169014,-0.003802281,-0.039413381
-0.003623188,-0.053435115,-0.039122102
0.014545455,0.169354839,-0.092353522
-0.053763441,0.079310345,0.010940849
-0.015151515,-0.012779553,0.017316063
-0.003846154,-0.029126214,-0.018085127
0.046332046,-0.01,-0.022751907
0.007380074,-0.084175084,-0.03325939
0.025641026,0.040441176,-0.026376198
-0.028571429,0.021201413,0.030624334
-0.007352941,-0.048442907,0.001142832
-0.051851852,-0.054545455,0.012557071
0.03515625,-0.003846154,0.024802692
-0.030188679,0.007722008,-0.028602837
-0.046692607,-0.003831418,-0.021517525
0.004081633,0.007692308,0.001665809
0.06504065,0.007633588,0.027154664
-0.030534351,0.018939394,-0.013793103
-0.011811024,-0.033457249,0.01048951
0.035856574,-0.015384615,0.006920415
-0.011538462,0.015625,0.077892325
-0.011673152,-0.038461538,-0.023379384
0,0.004,-0.040261153
